cu_num,M,N,K,q_dtype_w,kernelId,splitK,us,kernelName,tflops,bw,errRatio
80,1,512,7168,torch.float8_e4m3fnuz,5,0,12.4802,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,5.88,294.72,0
80,1,1280,8192,torch.float8_e4m3fnuz,11,0,14.3155,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,14.65,733.23,0
80,1,2112,7168,torch.float8_e4m3fnuz,11,0,13.4147,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,22.57,1129.37,0
80,1,2240,7168,torch.float8_e4m3fnuz,10,0,11.8963,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,26.99,1350.67,0
80,1,4096,512,torch.float8_e4m3fnuz,9,0,4.2138,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,9.95,499.75,0
80,1,4608,4096,torch.float8_e4m3fnuz,11,0,10.5838,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,35.67,1784.58,0
80,1,4608,7168,torch.float8_e4m3fnuz,5,0,13.8515,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,47.69,2385.77,0
80,1,7168,256,torch.float8_e4m3fnuz,75,0,6.4606,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,5.68,286.29,0
80,1,7168,2304,torch.float8_e4m3fnuz,29,0,10.1762,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v2,32.46,1624.55,0
80,1,8192,1024,torch.float8_e4m3fnuz,15,0,6.4482,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,26.02,1303.62,0
80,1,9216,4096,torch.float8_e4m3fnuz,19,0,14.4331,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v2,52.31,2616.99,0
80,1,11264,1536,torch.float8_e4m3fnuz,108,0,9.3388,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,37.05,1855.22,0
80,2,4608,4096,torch.float8_e4m3fnuz,5,0,10.661,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,70.82,1772.91,0
80,2,9216,4096,torch.float8_e4m3fnuz,5,0,14.4331,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,104.62,2618.55,0
80,4,4608,4096,torch.float8_e4m3fnuz,5,0,10.4863,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,143.99,1804.99,0
80,4,9216,4096,torch.float8_e4m3fnuz,11,0,14.6151,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,206.63,2589.02,0
80,8,4608,4096,torch.float8_e4m3fnuz,5,0,10.8626,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,278.01,1747.36,0
80,8,9216,4096,torch.float8_e4m3fnuz,5,0,15.0571,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,401.13,2519.01,0
80,16,512,7168,torch.float8_e4m3fnuz,24,0,10.7923,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,108.82,352.20,0
80,16,576,7168,torch.float8_e4m3fnuz,10,0,11.091,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,119.12,384.27,0
80,16,1536,7168,torch.float8_e4m3fnuz,10,0,11.2927,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,311.99,989.48,0
80,16,2112,7168,torch.float8_e4m3fnuz,24,0,11.7534,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,412.17,1303.55,0
80,16,2240,7168,torch.float8_e4m3fnuz,10,0,11.1279,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,461.72,1459.64,0
80,16,3072,1536,torch.float8_e4m3fnuz,11,0,5.8974,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,256.04,820.95,0
80,16,4096,512,torch.float8_e4m3fnuz,9,0,4.939,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,135.88,452.81,0
80,16,4608,4096,torch.float8_e4m3fnuz,24,0,10.8403,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,557.16,1760.78,0
80,16,4608,7168,torch.float8_e4m3fnuz,5,0,14.1863,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,745.06,2346.79,0
80,16,7168,256,torch.float8_e4m3fnuz,75,0,6.629,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,88.58,312.03,0
80,16,7168,2048,torch.float8_e4m3fnuz,10,0,8.769,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,535.71,1703.98,0
80,16,7168,2304,torch.float8_e4m3fnuz,15,0,10.491,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,503.75,1599.59,0
80,16,9216,4096,torch.float8_e4m3fnuz,11,0,15.5867,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,774.99,2444.98,0
80,16,11264,1536,torch.float8_e4m3fnuz,10,0,9.7876,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,565.66,1807.03,0
80,32,512,7168,torch.float8_e4m3fnuz,10,0,11.1022,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,211.56,354.18,0
80,32,576,7168,torch.float8_e4m3fnuz,10,0,11.199,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,235.95,392.45,0
80,32,1280,8192,torch.float8_e4m3fnuz,24,0,12.4575,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,538.70,869.34,0
