cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1,800,5120,29,0,8.5995,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,0.95,238.64,0.0
256,1,16384,16384,0,0,49.0507,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,10.95,2737.14,0.0
256,1,16384,53248,0,0,156.56,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,11.14,2786.58,0.0
256,1,18432,16384,0,0,48.5148,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,12.45,3113.28,0.0
256,1,106496,16384,1,0,170.4309,a4w4_blockscale_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,20.48,5120.18,0.0
256,4,16384,4096,22,0,21.86,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,24.56,1541.34,0.0
256,4,16384,16384,0,0,47.9976,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,44.74,2799.76,0.0
256,4,16384,53248,0,0,156.656,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,44.55,2786.01,0.0
256,4,18432,16384,0,0,47.9528,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,50.38,3152.58,0.0
256,4,106496,16384,0,0,171.6698,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,81.31,5087.09,0.0
256,8,16384,16384,0,0,47.6519,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,90.13,2823.51,0.0
256,8,16384,53248,0,0,157.2956,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,88.74,2776.19,0.0
256,8,18432,16384,22,0,59.6071,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,81.06,2539.22,0.0
